2|0000000000000000,0100000000000000,0100020000000000,0100021000000000,0100021000200000,0100021100200000,2100021100200000,2100021101200000,
1|0000000000000000,0000000000100000,0000002000100000,0000002001100000,0000002021100000,0000002021100001,0000202021100001,0000212021100001,2000212021100001,2000212021101001,2000212221101001,
1|0000000000000000,0000010000000000,0000010002000000,0000011002000000,0000011002020000,0000011002120000,0000011002120002,0001011002120002,0001011022120002,
2|0000000000000000,0000000001000000,0000002001000000,0000002001100000,0000022001100000,0000022101100000,0000022101102000,0000022101102010,0002022101102010,0002022101102011,
1|0000000000000000,0000000000100000,0000000002100000,0000010002100000,0000012002100000,0000012012100000,0000012012102000,0001012012102000,0001012012102200,0011012012102200,0011212012102200,1011212012102200,1011212212102200,
1|0000000000000000,0000000001000000,0000002001000000,0000002001100000,0000002001120000,0000012001120000,0000012001120002,0010012001120002,0010212001120002,
2|0000000000000000,0000010000000000,0000010002000000,0000010002100000,0000012002100000,0000012002100100,0000012002102100,0000012002102101,
2|0000000000000000,0000000001000000,0000020001000000,0000021001000000,0000021001200000,0000021001200001,0000021001200021,0100021001200021,0100021001220021,0100121001220021,0100121001220221,0100121101220221,
1|0000000000000000,0000000001000000,0000000001200000,0000001001200000,0000021001200000,0000021001210000,0000221001210000,0000221001210001,0020221001210001,0021221001210001,0021221201210001,
2|0000000000000000,0000001000000000,0000021000000000,0000021001000000,0000021001200000,0000021001200100,0020021001200100,0020021011200100,0020021211200100,0020021211201100,0022021211201100,0022021211201110,
1|0000000000000000,0000000001000000,0000020001000000,0000021001000000,0000021001200000,0000021001200010,0000021001200012,1000021001200012,1000021001200212,1000021001201212,1002021001201212,1002021011201212,1002221011201212,
0|0000000000000000,0000000001000000,0000000001200000,0000001001200000,0000021001200000,0000121001200000,0020121001200000,0120121001200000,2120121001200000,2120121001200001,2120121201200001,2121121201200001,2121121201202001,2121121201202011,2121121221202011,2121121221212011,
1|0000000000000000,0000000001000000,0000000001200000,0000001001200000,0000021001200000,0000021001210000,0000021001210020,0100021001210020,0100021001210022,1100021001210022,1100021201210022,1101021201210022,1121021201210022,
2|0000000000000000,0000010000000000,0000010000200000,0000010001200000,0000012001200000,0010012001200000,0010012001202000,0010012001202100,0210012001202100,0210012001202101,0210012201202101,0210012201202111,
2|0000000000000000,0000000001000000,0000000001200000,0000001001200000,0000021001200000,0000021001200010,0000021001200012,1000021001200012,1000021001220012,1000121001220012,1000121001220212,1000121011220212,
0|0000000000000000,0000000000000001,0000000000200001,0000000000210001,0000002000210001,0000002000210011,0000002000210211,0001002000210211,0001002200210211,0001002201210211,0001002221210211,0001012221210211,2001012221210211,2001012221211211,2021012221211211,2121012221211211,
0|0000000000000000,0000000001000000,0000002001000000,0000012001000000,0000012001200000,0000012001200010,0200012001200010,0200012001200011,0200012021200011,0200012021200111,0200012021202111,0200112021202111,2200112021202111,2200112121202111,2200112121222111,2210112121222111,
1|0000000000000000,0000000001000000,0000020001000000,0000020001100000,0000020001120000,0000021001120000,0000021001122000,0000021001122001,0000221001122001,
1|0000000000000000,0000000000100000,0000020000100000,0000021000100000,0000021002100000,0000021002100001,0200021002100001,0200021002100101,0202021002100101,0202021002101101,0202021002101121,
2|0000000000000000,0000000001000000,0000000001200000,0000001001200000,0000021001200000,0100021001200000,0100221001200000,0100221001210000,2100221001210000,2100221011210000,2100221211210000,2100221211210010,
2|0000000000000000,0000010000000000,0000012000000000,0000012000100000,0000012002100000,0010012002100000,0010012202100000,0010012202110000,
0|0000000000000000,0000000001000000,0000020001000000,0000020001100000,0000022001100000,0000022001110000,0000022021110000,0001022021110000,0001022221110000,0001122221110000,0001122221110002,1001122221110002,1001122221110202,1011122221110202,1211122221110202,1211122221111202,
2|0000000000000000,0000000001000000,0000020001000000,0000020001100000,0000022001100000,0000022001110000,0000022021110000,1000022021110000,
1|0000000000000000,0000000001000000,0000002001000000,0000002001100000,0000022001100000,0001022001100000,0001022201100000,0001122201100000,0001122201100002,0001122201110002,0001122201112002,
2|0000000000000000,0000010000000000,0000010000200000,0000011000200000,0000011000220000,0000011001220000,0000011001220200,1000011001220200,
1|0000000000000000,0000000000100000,0000020000100000,0000021000100000,0000021002100000,0000021002100100,0020021002100100,0020021002101100,0022021002101100,
2|0000000000000000,0000000000100000,0000002000100000,0000002001100000,0000022001100000,0000022001110000,0000022021110000,0001022021110000,0001022021112000,0001122021112000,
1|0000000000000000,0000000001000000,0000020001000000,0000020001100000,0000022001100000,0000022101100000,0000022101102000,0000122101102000,0000122101122000,
1|0000000000000000,0000000000100000,0000020000100000,0000020001100000,0000022001100000,0000022001110000,0000022021110000,0000122021110000,0000122021110002,0000122021110102,0000122021112102,
1|0000000000000000,0000010000000000,0000010000200000,0000010001200000,0000010001220000,0000011001220000,0000011001220200,0000011001221200,0000011021221200,
2|0000000000000000,0000001000000000,0000001002000000,0000011002000000,0000011002200000,0000011002200010,0002011002200010,0002011102200010,0002211102200010,0002211102210010,
1|0000000000000000,0000000000010000,0000020000010000,0000020000110000,0000020002110000,0000021002110000,0000021002110020,1000021002110020,1020021002110020,1020021002111020,1020221002111020,
1|0000000000000000,0000010000000000,0000010000200000,0000011000200000,0000011002200000,0000011012200000,0002011012200000,0002011012210000,2002011012210000,2102011012210000,2102011012212000,2102011112212000,2102011112212200,
1|0000000000000000,0000010000000000,0000010000200000,0000010001200000,0000010201200000,0000011201200000,0000011201200200,0000011201210200,2000011201210200,2010011201210200,2010011201212200,
2|0000000000000000,0000010000000000,0000010002000000,0000011002000000,0000011202000000,0000011202010000,2000011202010000,2010011202010000,2010011202010002,2011011202010002,2011211202010002,2011211202010012,
2|0000000000000000,0000000001000000,0000020001000000,0000020001100000,0000022001100000,0010022001100000,0010022001120000,0010022101120000,0010022101122000,0011022101122000,
1|0000000000000000,0000000001000000,0000002001000000,0000012001000000,0000012001200000,0010012001200000,0010012001202000,0010012001202100,0210012001202100,0210112001202100,2210112001202100,
1|0000000000000000,0000010000000000,0000012000000000,0000012000100000,0000012000120000,0000012100120000,0020012100120000,0020012100120001,0020012102120001,0020012102120101,0022012102120101,0022012102121101,2022012102121101,
1|0000000000000000,0000001000000000,0000001000200000,0000011000200000,0000011002200000,0000011002210000,2000011002210000,2010011002210000,2010011002210002,2010111002210002,2010111202210002,
1|0000000000000000,0000001000000000,0000001002000000,0000011002000000,0000011002020000,0000011002120000,0000011002120020,0001011002120020,0001011002120220,
2|0000000000000000,0000000001000000,0000002001000000,0000002101000000,0000022101000000,0100022101000000,0100022101200000,0100022101200001,0102022101200001,0102022101200101,
2|0000000000000000,0000000001000000,0000002001000000,0000002101000000,0000002101200000,0000002101200001,0000022101200001,0000122101200001,0002122101200001,0002122101200101,
1|0000000000000000,0000000001000000,0000020001000000,0000020001100000,0000022001100000,0000022101100000,0000022101120000,
1|0000000000000000,0000010000000000,0000010000200000,0000010001200000,0000012001200000,0010012001200000,0010012001200200,0011012001200200,0011212001200200,
1|0000000000000000,0000000001000000,0000020001000000,0000020001100000,0000022001100000,0000022101100000,0000022121100000,0001022121100000,0001022121102000,0001022121102001,0001022121102021,
1|0000000000000000,0000000000100000,0000020000100000,0000020001100000,0000022001100000,0010022001100000,0010022001120000,1010022001120000,1010022001122000,1010122001122000,1010122021122000,
1|0000000000000000,0000010000000000,0000012000000000,0000012000100000,0000012002100000,0010012002100000,0010012002100020,0010012102100020,0012012102100020,0012012102101020,0012012122101020,0012012122101021,0012212122101021,
1|0000000000000000,0000001000000000,0000001000200000,0000001001200000,0000001201200000,0010001201200000,0010001201200200,0010001201201200,0010021201201200,
1|0000000000000000,0000000001000000,0000000001200000,0000010001200000,0000012001200000,0000012001200010,0000012001200210,
0|0000000000000000,0000001000000000,0000001000200000,0000011000200000,0000011002200000,0000011012200000,0002011012200000,0002011112200000,0002211112200000,0002211112200001,0002211112220001,0002211112221001,0202211112221001,0202211112221101,0202211112221121,1202211112221121,
2|0000000000000000,0000001000000000,0000001002000000,0000011002000000,0000011002200000,0000011012200000,0002011012200000,0002011112200000,0002211112200000,0002211112200001,0002211112200201,0002211112210201,
2|0000000000000000,0000010000000000,0000010000200000,0000011000200000,0000011200200000,0000011200200010,0000011200220010,0000011200220011,0000011200220211,0000011201220211,
1|0000000000000000,0000010000000000,0000010000200000,0000011000200000,0000011002200000,0000011002210000,0000211002210000,0000211002210001,0000211002210201,
2|0000000000000000,0000010000000000,0000012000000000,0000012000100000,0000012002100000,0000012002100010,0200012002100010,0200112002100010,0200112002120010,0210112002120010,0212112002120010,0212112002120110,
1|0000000000000000,0000000000100000,0000002000100000,0000012000100000,0000012002100000,0000012002110000,0000012022110000,0000012122110000,0020012122110000,0020012122110100,0020012122110120,0020012122110121,2020012122110121,2120012122110121,2120212122110121,
1|0000000000000000,0000001000000000,0000001000020000,1000001000020000,1000021000020000,1000021000120000,1000221000120000,1010221000120000,1010221002120000,
2|0000000000000000,0000001000000000,0000021000000000,1000021000000000,1000021000200000,1000121000200000,1000121000220000,1100121000220000,1120121000220000,1121121000220000,1121121200220000,1121121201220000,1121121201222000,1121121201222010,
